========================================
     INFORME COMPLETO ICE CREAM         
     Fecha: 2026-05-14T16:38:38.195156200
========================================

--- ALMACEN (16 helados) ---
• coconut | Sabor: coco | Precio: $4000.0 | Unidades: 12
• Fecha: 2026-04-12T17:24:09.680 | Vendedor: danilo | Total: $11330.0 | Pago: tarjeta
• Fecha: 2026-04-07T20:54:46.438 | Vendedor: juan | Total: $2800.0 | Pago: efectivo
• Fecha: 2026-04-07T19:05:50.514 | Vendedor: juan | Total: $4500.0 | Pago: efectivo
• Fecha: 2026-03-04T20:28:08.021 | Vendedor: oscar | Total: $14000.0 | Pago: efectivo
• Fecha: 2026-03-04T17:40:38.713 | Vendedor: oscar | Total: $3000.0 | Pago: efectivo
• Fecha: 2025-11-26T19:04:23.164 | Vendedor: dilan | Total: $2800.0 | Pago: efectivo
• Fecha: 2025-11-18T14:38:27.827 | Vendedor: dilan | Total: $4500.0 | Pago: efectivo
• Fecha: 2025-11-07T11:35:46.913 | Vendedor: juan | Total: $3100.0 | Pago: efectivo
• Fecha: 2025-11-05T20:26:43.422 | Vendedor: juan | Total: $2500.0 | Pago: efectivo
• Fecha: 2025-11-05T19:55:06.836 | Vendedor: juan | Total: $2500.0 | Pago: efectivo
• Fecha: 2025-11-04T00:00 | Vendedor: jean | Total: $2800.0 | Pago: tarjeta
• Fecha: 2025-11-04T00:00 | Vendedor: oscar | Total: $9000.0 | Pago: tarjeta
• Fecha: 2025-11-04T00:00 | Vendedor: jean | Total: $19800.0 | Pago: efectivo
• Fecha: 2025-11-04T00:00 | Vendedor: juan | Total: $9900.0 | Pago: tarjeta
• Fecha: 2025-11-04T00:00 | Vendedor: juan | Total: $43800.0 | Pago: tarjeta
• Fecha: 2025-11-04T00:00 | Vendedor: paquito | Total: $11800.0 | Pago: efectivo
• Fecha: 2025-11-04T00:00 | Vendedor: jean | Total: $38600.0 | Pago: tarjeta
• Fecha: 2025-11-04T00:00 | Vendedor: dilan | Total: $19400.0 | Pago: tarjeta
• Fecha: 2025-11-04T00:00 | Vendedor: oscar | Total: $18800.0 | Pago: efectivo
• Fecha: 2025-11-04T00:00 | Vendedor: juan | Total: $11000.0 | Pago: tarjeta
• Fecha: 2025-11-04T00:00 | Vendedor: juan | Total: $30100.0 | Pago: tarjeta
• Fecha: 2025-11-04T00:00 | Vendedor: oscar | Total: $13500.0 | Pago: efectivo
• Fecha: 2025-11-03T00:00 | Vendedor: juan | Total: $3300.0 | Pago: efectivo
• Fecha: 2025-11-03T00:00 | Vendedor: oscar | Total: $27300.0 | Pago: tarjeta
• Fecha: 2025-11-03T00:00 | Vendedor: juan | Total: $33000.0 | Pago: efectivo
• Fecha: 2025-11-03T00:00 | Vendedor: dilan | Total: $34400.0 | Pago: efectivo
• Fecha: 2025-11-03T00:00 | Vendedor: jean | Total: $30000.0 | Pago: efectivo
• Fecha: 2025-11-03T00:00 | Vendedor: oscar | Total: $28500.0 | Pago: tarjeta
• Fecha: 2025-11-03T00:00 | Vendedor: juan | Total: $5200.0 | Pago: tarjeta
• Fecha: 2025-11-03T00:00 | Vendedor: dilan | Total: $6600.0 | Pago: tarjeta
• Fecha: 2025-11-03T00:00 | Vendedor: dilan | Total: $5600.0 | Pago: efectivo
• Fecha: 2025-11-03T00:00 | Vendedor: oscar | Total: $3100.0 | Pago: tarjeta
• Fecha: 2025-11-03T00:00 | Vendedor: dilan | Total: $10500.0 | Pago: efectivo
• Fecha: 2025-11-03T00:00 | Vendedor: oscar | Total: $25900.0 | Pago: tarjeta
• Fecha: 2025-11-03T00:00 | Vendedor: juan | Total: $24400.0 | Pago: tarjeta
• Fecha: 2025-11-03T00:00 | Vendedor: jean | Total: $31800.0 | Pago: tarjeta
• Fecha: 2025-11-03T00:00 | Vendedor: juan | Total: $20100.0 | Pago: efectivo
• Fecha: 2025-11-02T00:00 | Vendedor: oscar | Total: $21000.0 | Pago: efectivo
• Fecha: 2025-11-02T00:00 | Vendedor: paquito | Total: $33000.0 | Pago: tarjeta
• Fecha: 2025-11-02T00:00 | Vendedor: jean | Total: $19000.0 | Pago: efectivo
• Fecha: 2025-11-02T00:00 | Vendedor: jean | Total: $12200.0 | Pago: efectivo
• Fecha: 2025-11-02T00:00 | Vendedor: paquito | Total: $6600.0 | Pago: tarjeta
• Fecha: 2025-11-02T00:00 | Vendedor: oscar | Total: $19500.0 | Pago: tarjeta
• Fecha: 2025-11-02T00:00 | Vendedor: dilan | Total: $24000.0 | Pago: efectivo
• Fecha: 2025-11-02T00:00 | Vendedor: jean | Total: $12500.0 | Pago: efectivo
• Fecha: 2025-11-02T00:00 | Vendedor: jean | Total: $18000.0 | Pago: efectivo
• Fecha: 2025-11-02T00:00 | Vendedor: dilan | Total: $7800.0 | Pago: efectivo
• Fecha: 2025-11-02T00:00 | Vendedor: oscar | Total: $9900.0 | Pago: tarjeta
• Fecha: 2025-11-01T00:00 | Vendedor: dilan | Total: $29500.0 | Pago: tarjeta
• Fecha: 2025-11-01T00:00 | Vendedor: paquito | Total: $28300.0 | Pago: tarjeta
• Fecha: 2025-11-01T00:00 | Vendedor: juan | Total: $2500.0 | Pago: efectivo
• Fecha: 2025-11-01T00:00 | Vendedor: oscar | Total: $13500.0 | Pago: efectivo
• Fecha: 2025-11-01T00:00 | Vendedor: paquito | Total: $43000.0 | Pago: efectivo
• Fecha: 2025-11-01T00:00 | Vendedor: juan | Total: $18800.0 | Pago: efectivo
• Fecha: 2025-11-01T00:00 | Vendedor: oscar | Total: $36500.0 | Pago: tarjeta
• Fecha: 2025-11-01T00:00 | Vendedor: paquito | Total: $8000.0 | Pago: efectivo
• Fecha: 2025-11-01T00:00 | Vendedor: jean | Total: $18900.0 | Pago: efectivo
• Fecha: 2025-11-01T00:00 | Vendedor: dilan | Total: $24600.0 | Pago: efectivo
• Fecha: 2025-11-01T00:00 | Vendedor: dilan | Total: $29000.0 | Pago: tarjeta
• Fecha: 2025-11-01T00:00 | Vendedor: paquito | Total: $2800.0 | Pago: efectivo
• Fecha: 2025-11-01T00:00 | Vendedor: dilan | Total: $27500.0 | Pago: efectivo
• Fecha: 2025-11-01T00:00 | Vendedor: jean | Total: $36000.0 | Pago: efectivo
• Fecha: 2025-11-01T00:00 | Vendedor: oscar | Total: $9000.0 | Pago: tarjeta
• Fecha: 2025-11-01T00:00 | Vendedor: jean | Total: $5600.0 | Pago: efectivo
• Fecha: 2025-11-01T00:00 | Vendedor: jean | Total: $18500.0 | Pago: efectivo
• Fecha: 2025-10-31T00:00 | Vendedor: juan | Total: $6600.0 | Pago: efectivo
• Fecha: 2025-10-31T00:00 | Vendedor: dilan | Total: $51700.0 | Pago: efectivo
• Fecha: 2025-10-31T00:00 | Vendedor: juan | Total: $34300.0 | Pago: tarjeta
• Fecha: 2025-10-31T00:00 | Vendedor: dilan | Total: $2800.0 | Pago: tarjeta
• Fecha: 2025-10-31T00:00 | Vendedor: juan | Total: $5200.0 | Pago: tarjeta
• Fecha: 2025-10-31T00:00 | Vendedor: jean | Total: $42700.0 | Pago: tarjeta
• Fecha: 2025-10-31T00:00 | Vendedor: oscar | Total: $14000.0 | Pago: efectivo
• Fecha: 2025-10-31T00:00 | Vendedor: juan | Total: $19100.0 | Pago: efectivo
• Fecha: 2025-10-31T00:00 | Vendedor: paquito | Total: $7500.0 | Pago: efectivo
• Fecha: 2025-10-30T00:00 | Vendedor: juan | Total: $22600.0 | Pago: efectivo
• Fecha: 2025-10-30T00:00 | Vendedor: paquito | Total: $6600.0 | Pago: efectivo
• Fecha: 2025-10-30T00:00 | Vendedor: jean | Total: $8400.0 | Pago: efectivo
• Fecha: 2025-10-30T00:00 | Vendedor: paquito | Total: $41400.0 | Pago: tarjeta
• Fecha: 2025-10-30T00:00 | Vendedor: oscar | Total: $16000.0 | Pago: tarjeta
• Fecha: 2025-10-30T00:00 | Vendedor: jean | Total: $34700.0 | Pago: efectivo
• Fecha: 2025-10-30T00:00 | Vendedor: juan | Total: $2600.0 | Pago: tarjeta
• Fecha: 2025-10-30T00:00 | Vendedor: dilan | Total: $29000.0 | Pago: efectivo
• Fecha: 2025-10-30T00:00 | Vendedor: dilan | Total: $17000.0 | Pago: efectivo
• Fecha: 2025-10-30T00:00 | Vendedor: oscar | Total: $28600.0 | Pago: efectivo
• Fecha: 2025-10-30T00:00 | Vendedor: juan | Total: $6000.0 | Pago: tarjeta
• Fecha: 2025-10-30T00:00 | Vendedor: jean | Total: $18100.0 | Pago: tarjeta
• Fecha: 2025-10-30T00:00 | Vendedor: juan | Total: $9300.0 | Pago: efectivo
• Fecha: 2025-10-30T00:00 | Vendedor: jean | Total: $3100.0 | Pago: tarjeta
• Fecha: 2025-10-30T00:00 | Vendedor: paquito | Total: $6200.0 | Pago: efectivo
• Fecha: 2025-10-30T00:00 | Vendedor: jean | Total: $41400.0 | Pago: tarjeta
• Fecha: 2025-10-29T00:00 | Vendedor: oscar | Total: $2800.0 | Pago: tarjeta
• Fecha: 2025-10-29T00:00 | Vendedor: jean | Total: $17400.0 | Pago: tarjeta
• Fecha: 2025-10-29T00:00 | Vendedor: juan | Total: $8400.0 | Pago: efectivo
• Fecha: 2025-10-29T00:00 | Vendedor: juan | Total: $51500.0 | Pago: efectivo
• Fecha: 2025-10-29T00:00 | Vendedor: dilan | Total: $14000.0 | Pago: efectivo
• Fecha: 2025-10-29T00:00 | Vendedor: juan | Total: $35100.0 | Pago: efectivo
• Fecha: 2025-10-29T00:00 | Vendedor: jean | Total: $12600.0 | Pago: efectivo
• Fecha: 2025-10-29T00:00 | Vendedor: paquito | Total: $3500.0 | Pago: tarjeta
• Fecha: 2025-10-29T00:00 | Vendedor: juan | Total: $24900.0 | Pago: efectivo
• Fecha: 2025-10-29T00:00 | Vendedor: jean | Total: $31500.0 | Pago: tarjeta
• Fecha: 2025-10-29T00:00 | Vendedor: jean | Total: $2800.0 | Pago: efectivo
• Fecha: 2025-10-29T00:00 | Vendedor: oscar | Total: $5600.0 | Pago: efectivo
• Fecha: 2025-10-29T00:00 | Vendedor: dilan | Total: $19400.0 | Pago: tarjeta
• Fecha: 2025-10-28T00:00 | Vendedor: oscar | Total: $14800.0 | Pago: efectivo
• Fecha: 2025-10-28T00:00 | Vendedor: oscar | Total: $21800.0 | Pago: efectivo
• Fecha: 2025-10-28T00:00 | Vendedor: paquito | Total: $44800.0 | Pago: efectivo
• Fecha: 2025-10-28T00:00 | Vendedor: jean | Total: $21900.0 | Pago: tarjeta
• Fecha: 2025-10-28T00:00 | Vendedor: dilan | Total: $31300.0 | Pago: efectivo
• Fecha: 2025-10-28T00:00 | Vendedor: oscar | Total: $26800.0 | Pago: efectivo
• Fecha: 2025-10-28T00:00 | Vendedor: dilan | Total: $8800.0 | Pago: tarjeta
• Fecha: 2025-10-28T00:00 | Vendedor: juan | Total: $7500.0 | Pago: tarjeta
• Fecha: 2025-10-28T00:00 | Vendedor: paquito | Total: $13900.0 | Pago: tarjeta
• Fecha: 2025-10-28T00:00 | Vendedor: oscar | Total: $43100.0 | Pago: tarjeta
• Fecha: 2025-10-28T00:00 | Vendedor: dilan | Total: $6200.0 | Pago: efectivo
• Fecha: 2025-10-28T00:00 | Vendedor: juan | Total: $23900.0 | Pago: tarjeta
• Fecha: 2025-10-28T00:00 | Vendedor: juan | Total: $15500.0 | Pago: efectivo
• Fecha: 2025-10-28T00:00 | Vendedor: jean | Total: $11000.0 | Pago: tarjeta
• Fecha: 2025-10-27T00:00 | Vendedor: oscar | Total: $22900.0 | Pago: efectivo
• Fecha: 2025-10-27T00:00 | Vendedor: paquito | Total: $31600.0 | Pago: tarjeta
• Fecha: 2025-10-27T00:00 | Vendedor: dilan | Total: $11800.0 | Pago: efectivo
• Fecha: 2025-10-27T00:00 | Vendedor: dilan | Total: $36300.0 | Pago: efectivo
• Fecha: 2025-10-27T00:00 | Vendedor: jean | Total: $36400.0 | Pago: tarjeta
• Fecha: 2025-10-27T00:00 | Vendedor: oscar | Total: $14000.0 | Pago: tarjeta
• Fecha: 2025-10-27T00:00 | Vendedor: dilan | Total: $17200.0 | Pago: tarjeta
• Fecha: 2025-10-27T00:00 | Vendedor: oscar | Total: $20200.0 | Pago: tarjeta
• Fecha: 2025-10-27T00:00 | Vendedor: oscar | Total: $36500.0 | Pago: tarjeta
• Fecha: 2025-10-27T00:00 | Vendedor: jean | Total: $21600.0 | Pago: tarjeta
• Fecha: 2025-10-27T00:00 | Vendedor: oscar | Total: $6000.0 | Pago: efectivo
• Fecha: 2025-10-27T00:00 | Vendedor: juan | Total: $55000.0 | Pago: tarjeta
• Fecha: 2025-10-27T00:00 | Vendedor: jean | Total: $10500.0 | Pago: efectivo
• Fecha: 2025-10-27T00:00 | Vendedor: dilan | Total: $10500.0 | Pago: efectivo
• Fecha: 2025-10-26T00:00 | Vendedor: paquito | Total: $26500.0 | Pago: tarjeta
• Fecha: 2025-10-26T00:00 | Vendedor: jean | Total: $24600.0 | Pago: efectivo
• Fecha: 2025-10-26T00:00 | Vendedor: jean | Total: $13100.0 | Pago: efectivo
• Fecha: 2025-10-26T00:00 | Vendedor: jean | Total: $37700.0 | Pago: tarjeta
• Fecha: 2025-10-26T00:00 | Vendedor: paquito | Total: $59300.0 | Pago: tarjeta
• Fecha: 2025-10-26T00:00 | Vendedor: oscar | Total: $30400.0 | Pago: tarjeta
• Fecha: 2025-10-26T00:00 | Vendedor: juan | Total: $8200.0 | Pago: efectivo
• Fecha: 2025-10-26T00:00 | Vendedor: dilan | Total: $64300.0 | Pago: efectivo
• Fecha: 2025-10-26T00:00 | Vendedor: dilan | Total: $19100.0 | Pago: tarjeta
• Fecha: 2025-10-26T00:00 | Vendedor: oscar | Total: $32200.0 | Pago: efectivo
• Fecha: 2025-10-26T00:00 | Vendedor: paquito | Total: $32500.0 | Pago: efectivo
• Fecha: 2025-10-26T00:00 | Vendedor: jean | Total: $50600.0 | Pago: tarjeta
• Fecha: 2025-10-26T00:00 | Vendedor: dilan | Total: $13500.0 | Pago: tarjeta
• Fecha: 2025-10-26T00:00 | Vendedor: juan | Total: $12400.0 | Pago: efectivo
• Fecha: 2025-10-26T00:00 | Vendedor: jean | Total: $52800.0 | Pago: efectivo
• Fecha: 2025-10-26T00:00 | Vendedor: dilan | Total: $3000.0 | Pago: tarjeta
• Fecha: 2025-10-25T00:00 | Vendedor: oscar | Total: $18500.0 | Pago: efectivo
• Fecha: 2025-10-25T00:00 | Vendedor: paquito | Total: $35300.0 | Pago: tarjeta
• Fecha: 2025-10-25T00:00 | Vendedor: paquito | Total: $19500.0 | Pago: efectivo
• Fecha: 2025-10-25T00:00 | Vendedor: paquito | Total: $15500.0 | Pago: efectivo
• Fecha: 2025-10-25T00:00 | Vendedor: juan | Total: $20900.0 | Pago: tarjeta
• Fecha: 2025-10-25T00:00 | Vendedor: paquito | Total: $4000.0 | Pago: efectivo
• Fecha: 2025-10-25T00:00 | Vendedor: paquito | Total: $41400.0 | Pago: efectivo
• Fecha: 2025-10-25T00:00 | Vendedor: dilan | Total: $3100.0 | Pago: efectivo
• Fecha: 2025-10-25T00:00 | Vendedor: jean | Total: $10500.0 | Pago: efectivo
• Fecha: 2025-10-25T00:00 | Vendedor: jean | Total: $22700.0 | Pago: tarjeta
• Fecha: 2025-10-25T00:00 | Vendedor: oscar | Total: $3500.0 | Pago: tarjeta
• Fecha: 2025-10-25T00:00 | Vendedor: juan | Total: $50500.0 | Pago: tarjeta
• Fecha: 2025-10-25T00:00 | Vendedor: dilan | Total: $13300.0 | Pago: efectivo
• Fecha: 2025-10-25T00:00 | Vendedor: paquito | Total: $3300.0 | Pago: tarjeta
• Fecha: 2025-10-25T00:00 | Vendedor: oscar | Total: $12000.0 | Pago: efectivo
• Fecha: 2025-10-25T00:00 | Vendedor: juan | Total: $13500.0 | Pago: tarjeta
• Fecha: 2025-10-25T00:00 | Vendedor: paquito | Total: $9200.0 | Pago: efectivo
• Fecha: 2025-10-24T00:00 | Vendedor: oscar | Total: $11200.0 | Pago: efectivo
• Fecha: 2025-10-24T00:00 | Vendedor: jean | Total: $38100.0 | Pago: tarjeta
• Fecha: 2025-10-24T00:00 | Vendedor: dilan | Total: $15400.0 | Pago: tarjeta
• Fecha: 2025-10-24T00:00 | Vendedor: juan | Total: $8400.0 | Pago: tarjeta
• Fecha: 2025-10-24T00:00 | Vendedor: dilan | Total: $27300.0 | Pago: efectivo
• Fecha: 2025-10-24T00:00 | Vendedor: jean | Total: $18300.0 | Pago: tarjeta
• Fecha: 2025-10-24T00:00 | Vendedor: juan | Total: $64000.0 | Pago: tarjeta
• Fecha: 2025-10-24T00:00 | Vendedor: paquito | Total: $30100.0 | Pago: efectivo
• Fecha: 2025-10-24T00:00 | Vendedor: jean | Total: $19000.0 | Pago: efectivo
• Fecha: 2025-10-24T00:00 | Vendedor: juan | Total: $37000.0 | Pago: tarjeta
• Fecha: 2025-10-24T00:00 | Vendedor: dilan | Total: $27600.0 | Pago: tarjeta
• Fecha: 2025-10-24T00:00 | Vendedor: oscar | Total: $12000.0 | Pago: tarjeta
• Fecha: 2025-10-24T00:00 | Vendedor: paquito | Total: $43800.0 | Pago: tarjeta
• Fecha: 2025-10-24T00:00 | Vendedor: jean | Total: $5000.0 | Pago: tarjeta
• Fecha: 2025-10-24T00:00 | Vendedor: juan | Total: $12200.0 | Pago: efectivo
• Fecha: 2025-10-24T00:00 | Vendedor: juan | Total: $14600.0 | Pago: tarjeta
• Fecha: 2025-10-24T00:00 | Vendedor: juan | Total: $47600.0 | Pago: tarjeta
• Fecha: 2025-10-24T00:00 | Vendedor: dilan | Total: $30200.0 | Pago: tarjeta
• Fecha: 2025-10-23T00:00 | Vendedor: paquito | Total: $2600.0 | Pago: tarjeta
• Fecha: 2025-10-23T00:00 | Vendedor: paquito | Total: $23900.0 | Pago: efectivo
• Fecha: 2025-10-23T00:00 | Vendedor: jean | Total: $44300.0 | Pago: tarjeta
• Fecha: 2025-10-23T00:00 | Vendedor: dilan | Total: $19500.0 | Pago: efectivo
• Fecha: 2025-10-23T00:00 | Vendedor: jean | Total: $10400.0 | Pago: efectivo
• Fecha: 2025-10-23T00:00 | Vendedor: dilan | Total: $8700.0 | Pago: tarjeta
• Fecha: 2025-10-23T00:00 | Vendedor: juan | Total: $13500.0 | Pago: tarjeta
• Fecha: 2025-10-23T00:00 | Vendedor: jean | Total: $14800.0 | Pago: efectivo
• Fecha: 2025-10-23T00:00 | Vendedor: juan | Total: $10600.0 | Pago: tarjeta
• Fecha: 2025-10-23T00:00 | Vendedor: jean | Total: $35500.0 | Pago: tarjeta
• Fecha: 2025-10-23T00:00 | Vendedor: paquito | Total: $14600.0 | Pago: efectivo
• Fecha: 2025-10-23T00:00 | Vendedor: juan | Total: $42100.0 | Pago: efectivo
• Fecha: 2025-10-22T00:00 | Vendedor: oscar | Total: $9500.0 | Pago: tarjeta
• Fecha: 2025-10-22T00:00 | Vendedor: juan | Total: $6300.0 | Pago: tarjeta
• Fecha: 2025-10-22T00:00 | Vendedor: oscar | Total: $3000.0 | Pago: tarjeta
• Fecha: 2025-10-22T00:00 | Vendedor: juan | Total: $11000.0 | Pago: tarjeta
• Fecha: 2025-10-22T00:00 | Vendedor: paquito | Total: $17900.0 | Pago: tarjeta
• Fecha: 2025-10-22T00:00 | Vendedor: jean | Total: $14900.0 | Pago: efectivo
• Fecha: 2025-10-22T00:00 | Vendedor: juan | Total: $16600.0 | Pago: tarjeta
• Fecha: 2025-10-22T00:00 | Vendedor: juan | Total: $19700.0 | Pago: efectivo
• Fecha: 2025-10-22T00:00 | Vendedor: jean | Total: $55500.0 | Pago: efectivo
• Fecha: 2025-10-22T00:00 | Vendedor: jean | Total: $7700.0 | Pago: tarjeta
• Fecha: 2025-10-22T00:00 | Vendedor: jean | Total: $7000.0 | Pago: efectivo
• Fecha: 2025-10-22T00:00 | Vendedor: juan | Total: $19800.0 | Pago: tarjeta
• Fecha: 2025-10-21T00:00 | Vendedor: juan | Total: $27800.0 | Pago: tarjeta
• Fecha: 2025-10-21T00:00 | Vendedor: jean | Total: $17500.0 | Pago: efectivo
• Fecha: 2025-10-21T00:00 | Vendedor: jean | Total: $16800.0 | Pago: tarjeta
• Fecha: 2025-10-21T00:00 | Vendedor: jean | Total: $11000.0 | Pago: tarjeta
• Fecha: 2025-10-21T00:00 | Vendedor: oscar | Total: $9900.0 | Pago: efectivo
• Fecha: 2025-10-21T00:00 | Vendedor: dilan | Total: $14400.0 | Pago: tarjeta
• Fecha: 2025-10-21T00:00 | Vendedor: jean | Total: $21600.0 | Pago: tarjeta
• Fecha: 2025-10-21T00:00 | Vendedor: juan | Total: $28600.0 | Pago: tarjeta
• Fecha: 2025-10-21T00:00 | Vendedor: dilan | Total: $11500.0 | Pago: efectivo
• Fecha: 2025-10-21T00:00 | Vendedor: jean | Total: $34500.0 | Pago: efectivo
• Fecha: 2025-10-21T00:00 | Vendedor: jean | Total: $5600.0 | Pago: efectivo
• Fecha: 2025-10-21T00:00 | Vendedor: oscar | Total: $56600.0 | Pago: tarjeta
• Fecha: 2025-10-21T00:00 | Vendedor: jean | Total: $9300.0 | Pago: efectivo
• Fecha: 2025-10-21T00:00 | Vendedor: juan | Total: $22100.0 | Pago: tarjeta
• Fecha: 2025-10-20T00:00 | Vendedor: juan | Total: $20200.0 | Pago: tarjeta
• Fecha: 2025-10-20T00:00 | Vendedor: dilan | Total: $5600.0 | Pago: efectivo
• Fecha: 2025-10-20T00:00 | Vendedor: oscar | Total: $43400.0 | Pago: tarjeta
• Fecha: 2025-10-20T00:00 | Vendedor: juan | Total: $33300.0 | Pago: efectivo
• Fecha: 2025-10-20T00:00 | Vendedor: oscar | Total: $28500.0 | Pago: efectivo
• Fecha: 2025-10-20T00:00 | Vendedor: jean | Total: $33000.0 | Pago: tarjeta
• Fecha: 2025-10-20T00:00 | Vendedor: paquito | Total: $2800.0 | Pago: efectivo
• Fecha: 2025-10-20T00:00 | Vendedor: oscar | Total: $25000.0 | Pago: tarjeta
• Fecha: 2025-10-20T00:00 | Vendedor: oscar | Total: $6600.0 | Pago: efectivo
• Fecha: 2025-10-20T00:00 | Vendedor: dilan | Total: $27700.0 | Pago: efectivo
• Fecha: 2025-10-19T00:00 | Vendedor: paquito | Total: $13500.0 | Pago: efectivo
• Fecha: 2025-10-19T00:00 | Vendedor: juan | Total: $17100.0 | Pago: tarjeta
• Fecha: 2025-10-19T00:00 | Vendedor: oscar | Total: $16000.0 | Pago: tarjeta
• Fecha: 2025-10-19T00:00 | Vendedor: oscar | Total: $4500.0 | Pago: efectivo
• Fecha: 2025-10-19T00:00 | Vendedor: juan | Total: $32300.0 | Pago: tarjeta
• Fecha: 2025-10-19T00:00 | Vendedor: juan | Total: $15100.0 | Pago: tarjeta
• Fecha: 2025-10-19T00:00 | Vendedor: jean | Total: $66000.0 | Pago: efectivo
• Fecha: 2025-10-19T00:00 | Vendedor: juan | Total: $22300.0 | Pago: efectivo
• Fecha: 2025-10-19T00:00 | Vendedor: paquito | Total: $58400.0 | Pago: efectivo
• Fecha: 2025-10-19T00:00 | Vendedor: juan | Total: $11400.0 | Pago: tarjeta
• Fecha: 2025-10-18T00:00 | Vendedor: paquito | Total: $8200.0 | Pago: efectivo
• Fecha: 2025-10-18T00:00 | Vendedor: paquito | Total: $31100.0 | Pago: tarjeta
• Fecha: 2025-10-18T00:00 | Vendedor: dilan | Total: $56000.0 | Pago: tarjeta
• Fecha: 2025-10-18T00:00 | Vendedor: jean | Total: $21700.0 | Pago: tarjeta
• Fecha: 2025-10-18T00:00 | Vendedor: oscar | Total: $40200.0 | Pago: efectivo
• Fecha: 2025-10-18T00:00 | Vendedor: dilan | Total: $28200.0 | Pago: efectivo
• Fecha: 2025-10-18T00:00 | Vendedor: dilan | Total: $54000.0 | Pago: efectivo
• Fecha: 2025-10-18T00:00 | Vendedor: paquito | Total: $25400.0 | Pago: efectivo
• Fecha: 2025-10-18T00:00 | Vendedor: jean | Total: $4000.0 | Pago: tarjeta
• Fecha: 2025-10-18T00:00 | Vendedor: juan | Total: $43100.0 | Pago: efectivo
• Fecha: 2025-10-17T00:00 | Vendedor: jean | Total: $16000.0 | Pago: efectivo
• Fecha: 2025-10-17T00:00 | Vendedor: jean | Total: $18500.0 | Pago: efectivo
• Fecha: 2025-10-17T00:00 | Vendedor: juan | Total: $30200.0 | Pago: efectivo
• Fecha: 2025-10-17T00:00 | Vendedor: jean | Total: $43500.0 | Pago: efectivo
• Fecha: 2025-10-17T00:00 | Vendedor: paquito | Total: $5200.0 | Pago: efectivo
• Fecha: 2025-10-17T00:00 | Vendedor: juan | Total: $54000.0 | Pago: efectivo
• Fecha: 2025-10-17T00:00 | Vendedor: paquito | Total: $13000.0 | Pago: efectivo
• Fecha: 2025-10-17T00:00 | Vendedor: oscar | Total: $15100.0 | Pago: tarjeta
• Fecha: 2025-10-17T00:00 | Vendedor: oscar | Total: $20200.0 | Pago: tarjeta
• Fecha: 2025-10-17T00:00 | Vendedor: oscar | Total: $8000.0 | Pago: tarjeta
• Fecha: 2025-10-17T00:00 | Vendedor: dilan | Total: $36100.0 | Pago: tarjeta
• Fecha: 2025-10-17T00:00 | Vendedor: oscar | Total: $18900.0 | Pago: tarjeta
